location,daily_vaccinations
World,1533251.0697674418
United States,543513.4054054054
China,331101.19444444444
European Union,289896.3333333333
India,179317.9090909091
United Kingdom,159461.11111111112
Turkey,150567.53846153847
England,139467.30555555556
Israel,96400.15789473684
United Arab Emirates,81111.23809523809
Germany,59512.48275862069
Spain,56278.954545454544
Brazil,46266.5
Italy,46163.3
France,45662.181818181816
Russia,31966.41379310345
Poland,24841.85714285714
Saudi Arabia,19245.909090909092
Canada,18516.06976744186
Mexico,18302.78787878788
Romania,14502.206896551725
Indonesia,13582.785714285714
Argentina,11381.67857142857
Serbia,9343.0
Scotland,8860.32558139535
Portugal,8571.068965517241
Austria,8314.57142857143
Netherlands,7952.1
Denmark,7142.862068965517
Belgium,6735.357142857143
Czechia,6696.5
Sweden,6308.241379310345
Wales,5436.0
Hungary,5414.321428571428
Greece,5320.206896551724
Ireland,5234.916666666667
Switzerland,5126.75
Slovakia,4852.238095238095
Singapore,4771.818181818182
Northern Ireland,4107.279069767442
Bahrain,4089.5
Finland,3623.076923076923
Norway,2622.2413793103447
Lithuania,2407.6666666666665
Slovenia,2363.8636363636365
Croatia,2260.076923076923
Chile,2191.3030303030305
Costa Rica,1273.875
Oman,1201.2068965517242
Panama,1149.2
Seychelles,1109.75
Northern Cyprus,1105.75
Bulgaria,1044.4285714285713
Estonia,881.7931034482758
Gibraltar,757.7333333333333
Cyprus,752.9375
Latvia,724.5357142857143
Malta,655.6428571428571
Bermuda,278.0
Luxembourg,236.3846153846154
Iceland,206.42307692307693
Isle of Man,136.5
Ecuador,108.0
